,磨浮工段1号球磨机砂泵功率,磨浮工段1号球磨机砂泵转速,磨浮工段1号球磨机泵池液位,磨浮工段1号球磨机返砂含水量,磨浮工段1号球磨机给矿处理量,磨浮工段1号球磨机给矿含水量,磨浮工段1号球磨机磨机功率,磨浮工段1号球磨机磨矿浓度,磨浮工段1号球磨机前给水,磨浮工段1号球磨机上浆固体量,磨浮工段1号球磨机上浆含水量,磨浮工段1号球磨机上浆总流量,磨浮工段1号球磨机旋流器返砂矿量,磨浮工段1号球磨机旋流器返砂浓度,磨浮工段1号球磨机旋流器工作压力,磨浮工段1号球磨机旋流器上浆流量,磨浮工段1号球磨机溢流固体量,磨浮工段1号球磨机旋流器溢流+80目,磨浮工段1号球磨机旋流器溢流-200目
磨浮工段1号球磨机砂泵功率,1.0,-0.14952252749896122,0.39497110515868045,0.03141334558232591,-0.3279825074273773,-0.3301145478210638,-0.23980390356766962,-0.21844095017242152,0.04527274531660115,0.7555924497950268,0.7555942291394503,0.7555776224633233,0.31982625878304644,-0.017621402388161525,0.1507788182093736,0.7566535506522574,-0.06528357105095828,0.46978751825717197,-0.4406521041740563
磨浮工段1号球磨机砂泵转速,-0.14952252749896122,1.0,-0.008562422792530468,-0.18757674203690863,0.21809883533944735,0.21544311172443253,-0.5011344961778318,-0.04122931941873095,-0.455754468516868,-0.3837954114755108,-0.3838361165162229,-0.38381781363255235,-0.08630197446454257,0.049843432356711966,0.15196201955581465,-0.38559356959872093,0.07270920206897896,-0.25774719465264045,0.25067278098519474
磨浮工段1号球磨机泵池液位,0.39497110515868045,-0.008562422792530468,1.0,0.04424777008556781,-0.10754795074945729,-0.10932287272879491,-0.1656957310447072,-0.17499187717902356,-0.04024302114461058,0.38243202982480273,0.3824223439267278,0.3824321017203008,0.1016208818133353,-0.04883558420593793,0.176499427237494,0.38342644611655213,0.05668381825764207,0.17671433450034546,-0.15257823991287742
磨浮工段1号球磨机返砂含水量,0.03141334558232591,-0.18757674203690863,0.04424777008556781,1.0,-0.035356641400774796,-0.03939637979990338,0.08125412471814043,0.7626896365265752,-0.03878413186331668,0.04048773395120158,0.0404898775683647,0.04046772189445241,0.661501050426336,0.7332205994507371,-0.028066303344102667,0.041357297977428605,-0.6022222936849772,0.1396974578099676,-0.12905505075084803
磨浮工段1号球磨机给矿处理量,-0.3279825074273773,0.21809883533944735,-0.10754795074945729,-0.035356641400774796,1.0,0.9991555068640152,0.20147809990193197,-0.18837591526197256,-0.15032965070364956,-0.017758031325872687,-0.017764377530161624,-0.01773932779269375,-0.39985005995902084,-0.28012107870431485,-0.15300679944783185,-0.016950716869632426,0.36696503686181964,-0.3330189243948365,0.3794542529434997
磨浮工段1号球磨机给矿含水量,-0.3301145478210638,0.21544311172443253,-0.10932287272879491,-0.03939637979990338,0.9991555068640152,1.0,0.20285911939364643,-0.19065167772367256,-0.14989224109683535,-0.016688687906483448,-0.016694744251138514,-0.01666970439572259,-0.40163887209744253,-0.28284257586318395,-0.15158403689961006,-0.01624554810123534,0.3674900433948525,-0.33378256315387855,0.37985660128643084
磨浮工段1号球磨机磨机功率,-0.23980390356766962,-0.5011344961778318,-0.1656957310447072,0.08125412471814043,0.20147809990193197,0.20285911939364643,1.0,-0.09844397173485796,0.11091079229508723,0.20700157733711938,0.2069959085441008,0.2070060560156314,-0.22548320374484104,-0.26796264306323736,-0.2303558587611323,0.20868792119860258,0.17468730124527115,-0.27725799889314706,0.29915705481682175
磨浮工段1号球磨机磨矿浓度,-0.21844095017242152,-0.04122931941873095,-0.17499187717902356,0.7626896365265752,-0.18837591526197256,-0.19065167772367256,-0.09844397173485796,1.0,-0.07378600303609271,-0.420791417982727,-0.4207815973805737,-0.42081658644649006,0.744209957152679,0.8423779176997963,0.1686513331035772,-0.42044356866636107,-0.8900573123330419,0.0573547084108476,-0.08070689418782993
磨浮工段1号球磨机前给水,0.04527274531660115,-0.455754468516868,-0.04024302114461058,-0.03878413186331668,-0.15032965070364956,-0.14989224109683535,0.11091079229508723,-0.07378600303609271,1.0,0.21689448077607384,0.21692864038400184,0.21691078126795862,-0.03178433378864911,-0.043665935984747155,-0.27251582870746466,0.21745735740788646,0.05437041775727527,0.42154606907949627,-0.399746405910159
磨浮工段1号球磨机上浆固体量,0.7555924497950268,-0.3837954114755108,0.38243202982480273,0.04048773395120158,-0.017758031325872687,-0.016688687906483448,0.20700157733711938,-0.420791417982727,0.21689448077607384,1.0,0.9999998012061809,0.9999998902278825,0.04909229148969891,-0.26985592578570095,-0.2539403439599078,0.9996390820792269,0.21768124262046973,0.24559044033319807,-0.182134604718091
磨浮工段1号球磨机上浆含水量,0.7555942291394503,-0.3838361165162229,0.3824223439267278,0.0404898775683647,-0.017764377530161624,-0.016694744251138514,0.2069959085441008,-0.4207815973805737,0.21692864038400184,0.9999998012061809,1.0,0.9999998112968382,0.04911034649483131,-0.2698451977989966,-0.2539463053394526,0.9996389131757895,0.21766378021776853,0.2456012543080982,-0.18215239465721605
磨浮工段1号球磨机上浆总流量,0.7555776224633233,-0.38381781363255235,0.3824321017203008,0.04046772189445241,-0.01773932779269375,-0.01666970439572259,0.2070060560156314,-0.42081658644649006,0.21691078126795862,0.9999998902278825,0.9999998112968382,1.0,0.049066089065489364,-0.26988010960683995,-0.25395097310856307,0.9996391885639795,0.2177094749207204,0.24557314981168082,-0.18211879929850625
磨浮工段1号球磨机旋流器返砂矿量,0.31982625878304644,-0.08630197446454257,0.1016208818133353,0.661501050426336,-0.39985005995902084,-0.40163887209744253,-0.22548320374484104,0.744209957152679,-0.03178433378864911,0.04909229148969891,0.04911034649483131,0.049066089065489364,1.0,0.8619400833542322,0.19995616592635085,0.04823315818070275,-0.9034103586363957,0.32123350615470925,-0.3278720418828288
磨浮工段1号球磨机旋流器返砂浓度,-0.017621402388161525,0.049843432356711966,-0.04883558420593793,0.7332205994507371,-0.28012107870431485,-0.28284257586318395,-0.26796264306323736,0.8423779176997963,-0.043665935984747155,-0.26985592578570095,-0.2698451977989966,-0.26988010960683995,0.8619400833542322,1.0,0.18220832779517493,-0.27002799974750746,-0.8079990920261978,0.2518575324957347,-0.2684736683312189
磨浮工段1号球磨机旋流器工作压力,0.1507788182093736,0.15196201955581465,0.176499427237494,-0.028066303344102667,-0.15300679944783185,-0.15158403689961006,-0.2303558587611323,0.1686513331035772,-0.27251582870746466,-0.2539403439599078,-0.2539463053394526,-0.25395097310856307,0.19995616592635085,0.18220832779517493,1.0,-0.2541934386655558,-0.23301975790098883,0.09094165428131117,-0.08823584811473272
磨浮工段1号球磨机旋流器上浆流量,0.7566535506522574,-0.38559356959872093,0.38342644611655213,0.041357297977428605,-0.016950716869632426,-0.01624554810123534,0.20868792119860258,-0.42044356866636107,0.21745735740788646,0.9996390820792269,0.9996389131757895,0.9996391885639795,0.04823315818070275,-0.27002799974750746,-0.2541934386655558,1.0,0.2181904479486895,0.2452846191027747,-0.18239868916454816
磨浮工段1号球磨机溢流固体量,-0.06528357105095828,0.07270920206897896,0.05668381825764207,-0.6022222936849772,0.36696503686181964,0.3674900433948525,0.17468730124527115,-0.8900573123330419,0.05437041775727527,0.21768124262046973,0.21766378021776853,0.2177094749207204,-0.9034103586363957,-0.8079990920261978,-0.23301975790098883,0.2181904479486895,1.0,-0.16957353648721085,0.19013398979904778
磨浮工段1号球磨机旋流器溢流+80目,0.46978751825717197,-0.25774719465264045,0.17671433450034546,0.1396974578099676,-0.3330189243948365,-0.33378256315387855,-0.27725799889314706,0.0573547084108476,0.42154606907949627,0.24559044033319807,0.2456012543080982,0.24557314981168082,0.32123350615470925,0.2518575324957347,0.09094165428131117,0.2452846191027747,-0.16957353648721085,1.0,-0.9722807859618634
磨浮工段1号球磨机旋流器溢流-200目,-0.4406521041740563,0.25067278098519474,-0.15257823991287742,-0.12905505075084803,0.3794542529434997,0.37985660128643084,0.29915705481682175,-0.08070689418782993,-0.399746405910159,-0.182134604718091,-0.18215239465721605,-0.18211879929850625,-0.3278720418828288,-0.2684736683312189,-0.08823584811473272,-0.18239868916454816,0.19013398979904778,-0.9722807859618634,1.0
